respondent_id,city,production_context,fastener_category_of_interest,discovery_channel,first_look_interest_score_1_10,willing_to_preorder_before_general_release,lead_time_tolerance_days,typical_order_quantity_units,price_sensitivity_1_10,survey_wave
COST-2202,Rome,Opera/Ballet Wardrobe Department,Hook-and-Eye Closures,Distributor Showroom Visit,7.9,Depends on price,74,608,3,2026-Q2
COST-2203,London,Costume Rental House,Hook-and-Eye Closures,Online B2B Catalog Early Access,6.1,Depends on price,40,565,3,2026-Q2
COST-2204,New York City,Themed Entertainment (parks/shows),Snap Fasteners,Trade Show First Look,7.4,Yes,59,383,9,2026-Q2
COST-2205,Rome,Independent Designer Studio,Novelty/Costume-Specific Fasteners,Distributor Email Preview,7.9,Depends on price,71,1352,5,2026-Q2
COST-2206,Las Vegas,Burlesque/Cabaret Production,Snap Fasteners,Distributor Showroom Visit,6.6,No,51,80,6,2026-Q2
COST-2207,New York City,Independent Designer Studio,Vintage-Reproduction Hardware,Sales Rep In-Person Showing,8.5,No,52,1115,3,2026-Q2
COST-2208,London,Couture/Fashion House,Functional Zippers,Distributor Email Preview,6.1,No,27,292,7,2026-Q2
COST-2209,Rome,Themed Entertainment (parks/shows),Hook-and-Eye Closures,Referral from Other Designer,10.0,Depends on price,22,275,8,2026-Q2
COST-2210,Rome,Couture/Fashion House,Novelty/Costume-Specific Fasteners,Distributor Showroom Visit,6.8,Depends on price,33,656,7,2026-Q2
COST-2211,London,Theatrical/Stage Production,Decorative Buttons,Trade Show First Look,6.8,Depends on price,36,2381,6,2026-Q2
COST-2212,New York City,Burlesque/Cabaret Production,Hook-and-Eye Closures,Online B2B Catalog Early Access,8.6,No,32,460,6,2026-Q2
COST-2213,Paris,Opera/Ballet Wardrobe Department,Functional Zippers,Distributor Showroom Visit,6.4,No,29,1365,7,2026-Q2
COST-2214,New York City,Burlesque/Cabaret Production,Functional Zippers,Online B2B Catalog Early Access,8.2,Depends on price,30,1909,6,2026-Q2
COST-2215,New York City,Film/TV Wardrobe,Functional Zippers,Distributor Showroom Visit,6.0,Depends on price,31,1425,3,2026-Q2
COST-2216,Rome,Theatrical/Stage Production,Novelty/Costume-Specific Fasteners,Sales Rep In-Person Showing,6.8,Depends on price,69,3088,6,2026-Q2
COST-2217,Paris,Burlesque/Cabaret Production,Decorative Buttons,Trade Show First Look,10.0,Yes,32,2231,5,2026-Q2
COST-2218,Los Angeles,Opera/Ballet Wardrobe Department,Vintage-Reproduction Hardware,Referral from Other Designer,9.4,Depends on price,25,93,6,2026-Q2
COST-2219,New York City,Themed Entertainment (parks/shows),Functional Zippers,Distributor Showroom Visit,9.0,Depends on price,68,258,4,2026-Q2
COST-2220,London,Couture/Fashion House,Novelty/Costume-Specific Fasteners,Referral from Other Designer,7.5,Depends on price,61,1695,4,2026-Q2
COST-2221,London,Burlesque/Cabaret Production,Snap Fasteners,Distributor Email Preview,5.7,No,56,2156,8,2026-Q2
COST-2222,Paris,Costume Rental House,Hook-and-Eye Closures,Referral from Other Designer,7.0,Depends on price,62,772,5,2026-Q2
COST-2223,Rome,Couture/Fashion House,Functional Zippers,Referral from Other Designer,6.3,No,37,584,5,2026-Q2
COST-2224,New York City,Themed Entertainment (parks/shows),Decorative Buttons,Sales Rep In-Person Showing,9.4,Yes,80,3489,4,2026-Q2
COST-2225,Los Angeles,Themed Entertainment (parks/shows),Functional Zippers,Trade Show First Look,9.7,No,77,1926,5,2026-Q2
COST-2226,Los Angeles,Independent Designer Studio,Vintage-Reproduction Hardware,Distributor Showroom Visit,7.2,Depends on price,31,258,7,2026-Q2
COST-2227,Las Vegas,Themed Entertainment (parks/shows),Snap Fasteners,Sales Rep In-Person Showing,7.3,Depends on price,27,656,9,2026-Q2
COST-2228,Paris,Costume Rental House,Novelty/Costume-Specific Fasteners,Online B2B Catalog Early Access,6.2,No,30,50,6,2026-Q2
COST-2229,London,Costume Rental House,Hook-and-Eye Closures,Distributor Email Preview,6.0,Depends on price,68,107,6,2026-Q2
COST-2230,Rome,Film/TV Wardrobe,Hook-and-Eye Closures,Distributor Showroom Visit,6.7,Depends on price,69,338,9,2026-Q2
COST-2231,Los Angeles,Couture/Fashion House,Vintage-Reproduction Hardware,Distributor Email Preview,6.7,Yes,54,781,10,2026-Q2
COST-2232,Los Angeles,Costume Rental House,Decorative Buttons,Sales Rep In-Person Showing,5.5,No,24,866,7,2026-Q2
COST-2233,Paris,Couture/Fashion House,Snap Fasteners,Online B2B Catalog Early Access,4.9,Depends on price,51,615,8,2026-Q2
COST-2234,London,Couture/Fashion House,Hook-and-Eye Closures,Distributor Showroom Visit,6.3,No,55,194,5,2026-Q2
COST-2235,London,Film/TV Wardrobe,Novelty/Costume-Specific Fasteners,Online B2B Catalog Early Access,7.5,Yes,44,469,6,2026-Q2
COST-2236,Rome,Themed Entertainment (parks/shows),Vintage-Reproduction Hardware,Online B2B Catalog Early Access,5.8,Depends on price,61,621,3,2026-Q2
COST-2237,Paris,Theatrical/Stage Production,Functional Zippers,Distributor Showroom Visit,6.8,Yes,68,422,6,2026-Q2
COST-2238,London,Theatrical/Stage Production,Decorative Buttons,Referral from Other Designer,10.0,Depends on price,57,594,6,2026-Q2
COST-2239,Las Vegas,Burlesque/Cabaret Production,Functional Zippers,Distributor Email Preview,7.1,Depends on price,53,695,4,2026-Q2
